watch_id,user_id,video_id,category,timestamp,duration_sec,completion_pct,device,video_quality_score,real_views,real_engagement
1,525,4wZwXhoxRIA,tech,2024-05-27 09:16:00,130.26153024960888,0.43420510083202957,mobile,2.5508589368662826,18959978,0.03277329579320737
2,1522,4wZwXhoxRIA,tech,2024-02-21 21:58:00,204.7391901431864,0.6824639671439546,mobile,2.5508589368662826,18959978,0.03277329579320737
3,1157,4wZwXhoxRIA,tech,2024-05-20 14:42:00,151.67965628819903,0.5055988542939968,mobile,2.5508589368662826,18959978,0.03277329579320737
4,27,4wZwXhoxRIA,tech,2024-07-08 08:26:00,74.46494017683337,0.24821646725611124,tablet,2.5508589368662826,18959978,0.03277329579320737
5,1913,4wZwXhoxRIA,tech,2024-03-27 22:25:00,170.50701271497104,0.5683567090499034,mobile,2.5508589368662826,18959978,0.03277329579320737
6,1987,4wZwXhoxRIA,tech,2024-01-28 20:14:00,111.49743213939922,0.37165810713133074,desktop,2.5508589368662826,18959978,0.03277329579320737
7,794,4wZwXhoxRIA,tech,2024-11-18 19:22:00,141.95292254005264,0.47317640846684217,mobile,2.5508589368662826,18959978,0.03277329579320737
8,462,4wZwXhoxRIA,tech,2024-07-23 12:20:00,165.01380277729936,0.5500460092576646,mobile,2.5508589368662826,18959978,0.03277329579320737
9,728,4wZwXhoxRIA,tech,2024-09-26 04:46:00,175.4591110855942,0.5848637036186474,mobile,2.5508589368662826,18959978,0.03277329579320737
10,1297,4wZwXhoxRIA,tech,2024-01-30 07:12:00,212.794474019608,0.7093149133986933,mobile,2.5508589368662826,18959978,0.03277329579320737
11,476,4wZwXhoxRIA,tech,2024-04-19 06:51:00,137.6135450123613,0.45871181670787103,mobile,2.5508589368662826,18959978,0.03277329579320737
12,184,4wZwXhoxRIA,tech,2024-01-02 21:47:00,163.87491702202422,0.5462497234067474,tablet,2.5508589368662826,18959978,0.03277329579320737
13,1057,4wZwXhoxRIA,tech,2024-04-14 10:26:00,137.3634597205994,0.4578781990686646,desktop,2.5508589368662826,18959978,0.03277329579320737
14,1722,4wZwXhoxRIA,tech,2024-04-18 19:07:00,181.9052073507018,0.606350691169006,mobile,2.5508589368662826,18959978,0.03277329579320737
15,1697,4wZwXhoxRIA,tech,2024-09-26 15:41:00,220.96816203597274,0.7365605401199091,mobile,2.5508589368662826,18959978,0.03277329579320737
16,663,4wZwXhoxRIA,tech,2024-08-03 21:42:00,145.11383841724165,0.48371279472413886,mobile,2.5508589368662826,18959978,0.03277329579320737
17,206,4wZwXhoxRIA,tech,2024-03-01 21:19:00,205.03092405778867,0.6834364135259622,mobile,2.5508589368662826,18959978,0.03277329579320737
18,1472,4wZwXhoxRIA,tech,2024-09-11 17:18:00,100.56489756729853,0.3352163252243284,tablet,2.5508589368662826,18959978,0.03277329579320737
19,1674,4wZwXhoxRIA,tech,2024-10-15 16:01:00,147.19034689328402,0.49063448964428,desktop,2.5508589368662826,18959978,0.03277329579320737
20,1575,4wZwXhoxRIA,tech,2024-04-22 08:22:00,206.2530652540728,0.687510217513576,mobile,2.5508589368662826,18959978,0.03277329579320737
